period,respondent,respondent-name,Day-ahead demand forecast,Total interchange,Solar,Wind,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WSC,Region,hour_sin,hour_cos,month_sin,month_cos,day_of_year,doy_sin,doy_cos,day_of_week,dow_sin,dow_cos,is_weekend,Pct_Solar,Pct_Wind,DA_forecast_yesterday,unexpect_dem_diff,lag_interchange_1h,lag_interchange_24h,interchange_roll_mean_3h,Net_generation_lag_1,Demand_30d_avg,Day-ahead demand forecast_30d_avg,Solar_30d_avg,Wind_30d_avg,Net generation_30d_avg,Total interchange_30d_avg,Pct_Solar_30d_avg,Pct_Wind_30d_avg,ALLSKY_SFC_SW_DWN_30d_avg,T2M_30d_avg,WSC_30d_avg,unexpect_dem_diff_30d_avg
2022-02-18 07:00:00,MIDW,Midwest,80910,-4809,4,14180,2022,2,18,7,0.0,-13.9,8.23,MIDW,0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,0.0050977493436647715,18.071521423291617,72084.0,9472.0,-4433.0,-4562.0,-5451.0,80256.0,87411.22777777778,88531.90277777778,288.5180555555556,14296.844444444445,88054.0,-1139.6013888888888,0.3273913410170969,16.457892179671948,86.4913611111111,-7.292972222222222,7.814583333333333,-1214.9361111111111
2022-02-18 08:00:00,MIDW,Midwest,80587,-4648,4,15179,2022,2,18,8,0.0,-14.79,7.18,MIDW,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,0.005120131075355529,19.429617398205394,70997.0,10110.0,-4809.0,-4880.0,-4817.0,78466.0,87419.88472222222,88540.80416666667,288.52222222222224,14286.47361111111,88052.95833333333,-1149.1,0.3273966913922131,16.44500000936597,86.4913611111111,-7.310888888888888,7.808777777777777,-1192.4361111111111
2022-02-18 09:00:00,MIDW,Midwest,80964,-4500,4,16197,2022,2,18,9,0.0,-15.39,5.99,MIDW,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,0.005100349373932114,20.652589702394614,70695.0,10481.0,-4648.0,-4748.0,-4630.0,78123.0,87429.37222222223,88550.51527777778,288.5263888888889,14277.456944444444,88053.58611111112,-1157.9069444444444,0.3274019939902672,16.433270049333963,86.4913611111111,-7.3267083333333325,7.801069444444445,-1168.775
2022-02-18 10:00:00,MIDW,Midwest,82180,-4336,4,16148,2022,2,18,10,0.0,-15.43,4.61,MIDW,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,0.005045917852457362,20.37037037037037,71298.0,10665.0,-4500.0,-4914.0,-4652.333333333333,78426.0,87439.57083333333,88561.01388888889,288.53055555555557,14272.370833333332,88055.38888888889,-1166.6847222222223,0.3274072209889859,16.42627625188687,86.4913611111111,-7.340638888888889,7.7915,-1144.0680555555555
2022-02-18 11:00:00,MIDW,Midwest,85142,-3825,4,17280,2022,2,18,11,0.0,-15.09,3.22,MIDW,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,0.004890693011199687,21.12779380838265,73544.0,10188.0,-4336.0,-4408.0,-4494.666666666667,79272.0,87449.79166666667,88572.41666666667,288.53472222222223,14268.697222222223,88059.69027777777,-1173.111111111111,0.3274122486273955,16.42045296880945,86.4913611111111,-7.35251388888889,7.779694444444445,-1118.9444444444443
2022-02-18 12:00:00,MIDW,Midwest,90318,-4140,4,17677,2022,2,18,12,0.0,-14.98,2.64,MIDW,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,0.004633168855838951,20.475131466166285,78072.0,10282.0,-3825.0,-4599.0,-4220.333333333333,81788.0,87461.90972222222,88584.575,288.5388888888889,14265.297222222222,88065.50972222222,-1180.0611111111111,0.32741699278640785,16.414863347046932,86.4913611111111,-7.3625138888888895,7.766902777777776,-1091.1458333333333
2022-02-18 13:00:00,MIDW,Midwest,96422,-4304,4,17307,2022,2,18,13,91.03,-14.67,4.12,MIDW,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,0.004348345997891052,18.81420604637511,83623.0,10239.0,-4140.0,-5317.0,-4100.333333333333,86334.0,87474.36388888888,88597.50694444444,288.54305555555555,14260.18611111111,88072.57916666666,-1186.1708333333333,0.32742143387636524,16.407451097245183,86.59154166666667,-7.370763888888889,7.756555555555556,-1062.6416666666667
2022-02-18 14:00:00,MIDW,Midwest,98490,-3691,230,17647,2022,2,18,14,270.8,-11.26,6.5,MIDW,-0.4999999999999997,-0.8660254037844388,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,0.2415966386554622,18.53676470588235,86001.0,10564.0,-4304.0,-5040.0,-4089.6666666666665,91989.0,87486.68333333333,88609.65972222222,288.8375,14254.531944444445,88080.40555555555,-1191.1472222222221,0.3277290720742782,16.399518393666817,86.81956944444444,-7.374375000000001,7.7491111111111115,-1035.5208333333333
2022-02-18 15:00:00,MIDW,Midwest,97499,-2878,936,17664,2022,2,18,15,435.0,-9.0,8.14,MIDW,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,0.9773211377020424,18.443804034582133,86711.0,9634.0,-3691.0,-5028.0,-4045.0,95200.0,87498.25555555556,88619.41527777778,289.8388888888889,14249.15,88088.32222222222,-1195.2458333333334,0.3287549376397749,16.391922160730367,87.15662499999999,-7.375166666666667,7.744249999999999,-1011.9763888888889
2022-02-18 16:00:00,MIDW,Midwest,94924,-2739,1162,17618,2022,2,18,16,570.15,-7.09,10.07,MIDW,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,1.2302284710017575,18.652465750524065,87065.0,7933.0,-2878.0,-5086.0,-3624.3333333333335,95772.0,87508.92916666667,88625.25972222222,290.60555555555555,14242.572222222223,88095.14583333333,-1199.3,0.3295174047330923,16.383154613457915,87.595375,-7.373611111111111,7.742861111111112,-992.6166666666667
