Region,Scenario Type,Scenario Label,Original Time,Original Interchange,Original Solar,Modified Solar,Solar Irradiance,Original Pct Solar,Modified Solar Pct,Original Wind,Modified Wind,Wind Speed,Original Pct Wind,Modified Wind Pct,Baseline Prediction,Modified Prediction,Delta Prediction,Delta Prediction (%)
MIDW,Winter Peak,Solar+Wind +50%,2023-02-24 16:00:00,-9647,1439,2158.5,449.3,1.837263639033234,2.725619688608842,1834,2751.0,5.1,2.341585485744928,3.473791875544556,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Solar+Wind +200%,2023-02-24 16:00:00,-9647,1439,4317.0,449.3,1.837263639033234,5.451239377217684,1834,5502.0,5.1,2.341585485744928,6.947583751089112,-9154.604,-9154.604,0.0,0.0
MIDW,Winter Peak,Solar+Wind +400%,2023-02-24 16:00:00,-9647,1439,7195.0,449.3,1.837263639033234,9.085398962029473,1834,9170.0,5.1,2.341585485744928,11.579306251815186,-9154.604,-9099.047,55.55664,0.6068710703402758
MIDW,Winter Peak,Solar+Wind +900%,2023-02-24 16:00:00,-9647,1439,14390.0,449.3,1.837263639033234,18.170797924058945,1834,18340.0,5.1,2.341585485744928,23.158612503630373,-9154.604,-9020.63,133.97363,1.4634564518928528
MIDW,Summer Peak,Solar +10%,2023-06-04 21:00:00,-12064,2328,2560.8,536.42,2.664011809536888,2.966189058645014,5263,5263.0,7.35,6.022634945701306,6.0961625334460745,-10215.753,-10215.753,0.0,0.0
MIDW,Summer Peak,Wind +10%,2023-06-04 21:00:00,-12064,2328,2328.0,536.42,2.664011809536888,2.6965355078591036,5263,5789.3,7.35,6.022634945701306,6.705778786790682,-10215.753,-10215.753,0.0,0.0
MIDW,Summer Peak,Solar +25%,2023-06-04 21:00:00,-12064,2328,2910.0,536.42,2.664011809536888,3.3706693848238793,5263,5263.0,7.35,6.022634945701306,6.0961625334460745,-10215.753,-10215.753,0.0,0.0
MIDW,Summer Peak,Wind +25%,2023-06-04 21:00:00,-12064,2328,2328.0,536.42,2.664011809536888,2.6965355078591036,5263,6578.75,7.35,6.022634945701306,7.6202031668075945,-10215.753,-10169.744,46.00879,0.45037101954221725
MIDW,Summer Peak,Solar +50%,2023-06-04 21:00:00,-12064,2328,3492.0,536.42,2.664011809536888,4.044803261788656,5263,5263.0,7.35,6.022634945701306,6.0961625334460745,-10215.753,-10215.753,0.0,0.0
MIDW,Summer Peak,Wind +50%,2023-06-04 21:00:00,-12064,2328,2328.0,536.42,2.664011809536888,2.6965355078591036,5263,7894.5,7.35,6.022634945701306,9.144243800169113,-10215.753,-10167.942,47.810547,0.46800808049738407
MIDW,Summer Peak,Solar +200%,2023-06-04 21:00:00,-12064,2328,6984.0,536.42,2.664011809536888,8.089606523577311,5263,5263.0,7.35,6.022634945701306,6.0961625334460745,-10215.753,-10215.753,0.0,0.0
MIDW,Summer Peak,Wind +200%,2023-06-04 21:00:00,-12064,2328,2328.0,536.42,2.664011809536888,2.6965355078591036,5263,15789.0,7.35,6.022634945701306,18.288487600338225,-10215.753,-10059.397,156.35547,1.530533004552126
MIDW,Summer Peak,Solar +400%,2023-06-04 21:00:00,-12064,2328,11640.0,536.42,2.664011809536888,13.482677539295517,5263,5263.0,7.35,6.022634945701306,6.0961625334460745,-10215.753,-10215.753,0.0,0.0
MIDW,Summer Peak,Wind +400%,2023-06-04 21:00:00,-12064,2328,2328.0,536.42,2.664011809536888,2.6965355078591036,5263,26315.0,7.35,6.022634945701306,30.480812667230378,-10215.753,-10043.903,171.84961,1.6822021454572678
MIDW,Summer Peak,Solar +900%,2023-06-04 21:00:00,-12064,2328,23280.0,536.42,2.664011809536888,26.965355078591035,5263,5263.0,7.35,6.022634945701306,6.0961625334460745,-10215.753,-10215.753,0.0,0.0
MIDW,Summer Peak,Wind +900%,2023-06-04 21:00:00,-12064,2328,2328.0,536.42,2.664011809536888,2.6965355078591036,5263,52630.0,7.35,6.022634945701306,60.961625334460756,-10215.753,-10043.903,171.84961,1.6822021454572678
MIDW,Summer Peak,Solar+Wind +10%,2023-06-04 21:00:00,-12064,2328,2560.8,536.42,2.664011809536888,2.966189058645014,5263,5789.3,7.35,6.022634945701306,6.705778786790682,-10215.753,-10215.753,0.0,0.0
MIDW,Summer Peak,Solar+Wind +25%,2023-06-04 21:00:00,-12064,2328,2910.0,536.42,2.664011809536888,3.3706693848238793,5263,6578.75,7.35,6.022634945701306,7.6202031668075945,-10215.753,-10169.744,46.00879,0.45037101954221725
MIDW,Summer Peak,Solar+Wind +50%,2023-06-04 21:00:00,-12064,2328,3492.0,536.42,2.664011809536888,4.044803261788656,5263,7894.5,7.35,6.022634945701306,9.144243800169113,-10215.753,-10167.942,47.810547,0.46800808049738407
MIDW,Summer Peak,Solar+Wind +200%,2023-06-04 21:00:00,-12064,2328,6984.0,536.42,2.664011809536888,8.089606523577311,5263,15789.0,7.35,6.022634945701306,18.288487600338225,-10215.753,-10059.397,156.35547,1.530533004552126
MIDW,Summer Peak,Solar+Wind +400%,2023-06-04 21:00:00,-12064,2328,11640.0,536.42,2.664011809536888,13.482677539295517,5263,26315.0,7.35,6.022634945701306,30.480812667230378,-10215.753,-10043.903,171.84961,1.6822021454572678
MIDW,Summer Peak,Solar+Wind +900%,2023-06-04 21:00:00,-12064,2328,23280.0,536.42,2.664011809536888,26.965355078591035,5263,52630.0,7.35,6.022634945701306,60.961625334460756,-10215.753,-10043.903,171.84961,1.6822021454572678
